Marketing Channel ROI Analysis
===============================


Channel: TV
Month	Investment	Attributed Revenue	MMM ROI
2024-05	$68,000,000.00	$30,733,638.11	0.4520
2024-06	$27,680,230.61	$17,958,934.97	0.6488
2024-07	$5,472,538.59	$42,201.56	0.0077


Channel: SEM
Month	Investment	Attributed Revenue	MMM ROI
2023-05	$69,100,000.00	$459.35	0.0000
2023-06	$37,355,159.78	$754.84	0.0000
2023-07	$50,236,974.45	$75,194,017.87	1.4968
2023-08	$25,135,280.04	$264,878.70	0.0105
2023-09	$62,021,490.45	$48,446,872.01	0.7811
2023-10	$319,270,113.79	$152,693,064.39	0.4783
2023-11	$52,220,316.71	$61,129,535.01	1.1706
2023-12	$111,810,304.31	$79,322,395.21	0.7094
2024-01	$42,000,000.00	$45,320,155.89	1.0791
2024-02	$48,736,297.40	$56,569,059.17	1.1607
2024-03	$51,935,913.98	$45,035,257.93	0.8671
2024-04	$42,199,581.03	$48,345,440.62	1.1456
2024-05	$69,100,000.00	$59,727,304.23	0.8644
2024-06	$37,355,159.78	$46,350,164.29	1.2408
2024-07	$50,236,974.45	$740,888.61	0.0147


Channel: Radio
Month	Investment	Attributed Revenue	MMM ROI
2023-05	$11,000,000.00	$47.95	0.0000
2023-06	$0.00	$0.00	nan
2023-07	$0.00	$0.00	nan
2023-08	$0.00	$0.00	nan
2023-09	$0.00	$0.00	nan
2023-10	$0.00	$0.00	nan
2023-11	$0.00	$0.00	nan
2023-12	$0.00	$0.00	nan
2024-01	$27,000,000.00	$19,105,819.00	0.7076
2024-02	$0.00	$0.00	nan
2024-03	$8,700,000.00	$4,947,250.70	0.5686
2024-04	$0.00	$0.00	nan
2024-05	$11,000,000.00	$6,235,156.25	0.5668
2024-06	$0.00	$0.00	nan
2024-07	$0.00	$0.00	nan


Channel: Other
Month	Investment	Attributed Revenue	MMM ROI
2023-05	$49,870,000.00	$118.32	0.0000
2023-06	$0.00	$0.00	nan
2023-07	$0.00	$0.00	nan
2023-08	$0.00	$0.00	nan
2023-09	$0.00	$0.00	nan
2023-10	$0.00	$0.00	nan
2023-11	$0.00	$0.00	nan
2023-12	$0.00	$0.00	nan
2024-01	$270,900,000.00	$104,327,569.49	0.3851
2024-02	$0.00	$0.00	nan
2024-03	$159,455,450.85	$49,348,303.32	0.3095
2024-04	$0.00	$0.00	nan
2024-05	$49,870,000.00	$15,384,458.49	0.3085
2024-06	$0.00	$0.00	nan
2024-07	$0.00	$0.00	nan

Marketing Mix Modeling (MMM) Analysis:

Baseline Revenue (Intercept) (Current Months): $6,006,201.44 - Revenue expected without marketing

Baseline Revenue (Intercept) (Next Months): $680,875,990.72 - Revenue expected without marketing

Marketing Channel Impact Analysis:
- SEM (Current Months):
  Impact Coefficient: 104.7021
  Average Monthly Investment: $71,247,571.08
  Attributed Revenue: $719,140,248.11 (17.73% of total GMV)
  MMM-based ROI: 0.7346
  Marginal revenue impact - Each $1 spent generates $0.73 in revenue

- Online marketing (Current Months):
  Impact Coefficient: 72.8781
  Average Monthly Investment: $151,058,793.99
  Attributed Revenue: $1,241,497,773.67 (30.61% of total GMV)
  MMM-based ROI: 0.5113
  Marginal revenue impact - Each $1 spent generates $0.51 in revenue

- Radio (Current Months):
  Impact Coefficient: 68.6618
  Average Monthly Investment: $3,846,666.67
  Attributed Revenue: $30,288,273.90 (0.75% of total GMV)
  MMM-based ROI: 0.4608
  Marginal revenue impact - Each $1 spent generates $0.46 in revenue

- Content Marketing (Current Months):
  Impact Coefficient: 66.2620
  Average Monthly Investment: $5,909,324.63
  Attributed Revenue: $36,979,898.99 (0.91% of total GMV)
  MMM-based ROI: 0.4649
  Marginal revenue impact - Each $1 spent generates $0.46 in revenue

- TV (Current Months):
  Impact Coefficient: -65.7219
  Average Monthly Investment: $31,744,055.20
  Attributed Revenue: $-251,504,201.93 (-6.20% of total GMV)
  MMM-based ROI: -0.4611
  Negative revenue impact - Investment in this channel reduces revenue

- Digital (Current Months):
  Impact Coefficient: 60.2720
  Average Monthly Investment: $22,922,667.79
  Attributed Revenue: $129,898,031.48 (3.20% of total GMV)
  MMM-based ROI: 0.4229
  Marginal revenue impact - Each $1 spent generates $0.42 in revenue

- Sponsorship (Current Months):
  Impact Coefficient: 59.0235
  Average Monthly Investment: $286,340,386.14
  Attributed Revenue: $1,680,450,879.39 (41.43% of total GMV)
  MMM-based ROI: 0.4141
  Marginal revenue impact - Each $1 spent generates $0.41 in revenue

- Affiliates (Current Months):
  Impact Coefficient: 54.7477
  Average Monthly Investment: $47,656,707.48
  Attributed Revenue: $299,857,578.98 (7.39% of total GMV)
  MMM-based ROI: 0.3841
  Marginal revenue impact - Each $1 spent generates $0.38 in revenue

- Other (Current Months):
  Impact Coefficient: 37.3683
  Average Monthly Investment: $35,339,696.72
  Attributed Revenue: $169,060,449.63 (4.17% of total GMV)
  MMM-based ROI: 0.2508
  Marginal revenue impact - Each $1 spent generates $0.25 in revenue

- Online marketing (Next Months):
  Impact Coefficient: 173.0351 (revenue $ per investment $)
  Average Monthly Investment: $160,900,652.42
  Attributed Revenue: $1,984,482,642.72 (48.95% of total GMV)
  MMM-based ROI: 1.9608
  Positive revenue impact - Each $1 spent generates $1.96 in revenue

- SEM (Next Months):
  Impact Coefficient: 98.1254 (revenue $ per investment $)
  Average Monthly Investment: $72,748,327.98
  Attributed Revenue: $637,303,280.00 (15.72% of total GMV)
  MMM-based ROI: 1.1119
  Positive revenue impact - Each $1 spent generates $1.11 in revenue

- Digital (Next Months):
  Impact Coefficient: 84.0456 (revenue $ per investment $)
  Average Monthly Investment: $22,750,705.70
  Attributed Revenue: $202,615,677.78 (5.00% of total GMV)
  MMM-based ROI: 0.9524
  Marginal revenue impact - Each $1 spent generates $0.95 in revenue

- Radio (Next Months):
  Impact Coefficient: 77.5457 (revenue $ per investment $)
  Average Monthly Investment: $4,121,428.57
  Attributed Revenue: $17,907,734.89 (0.44% of total GMV)
  MMM-based ROI: 0.2825
  Marginal revenue impact - Each $1 spent generates $0.28 in revenue

- TV (Next Months):
  Impact Coefficient: -76.3863 (revenue $ per investment $)
  Average Monthly Investment: $33,857,680.42
  Attributed Revenue: $-200,058,570.61 (-4.93% of total GMV)
  MMM-based ROI: -0.8656
  Negative revenue impact - Investment in this channel reduces revenue

- Content Marketing (Next Months):
  Impact Coefficient: 75.8750 (revenue $ per investment $)
  Average Monthly Investment: $6,330,752.89
  Attributed Revenue: $26,751,079.53 (0.66% of total GMV)
  MMM-based ROI: 0.8598
  Marginal revenue impact - Each $1 spent generates $0.86 in revenue

- Affiliates (Next Months):
  Impact Coefficient: 66.6605 (revenue $ per investment $)
  Average Monthly Investment: $50,669,862.40
  Attributed Revenue: $248,017,201.68 (6.12% of total GMV)
  MMM-based ROI: 0.7554
  Marginal revenue impact - Each $1 spent generates $0.76 in revenue

- Sponsorship (Next Months):
  Impact Coefficient: 50.6549 (revenue $ per investment $)
  Average Monthly Investment: $301,497,363.91
  Attributed Revenue: $1,015,760,784.40 (25.06% of total GMV)
  MMM-based ROI: 0.5740
  Marginal revenue impact - Each $1 spent generates $0.57 in revenue

- Other (Next Months):
  Impact Coefficient: 50.5385 (revenue $ per investment $)
  Average Monthly Investment: $37,863,960.78
  Attributed Revenue: $122,885,952.82 (3.03% of total GMV)
  MMM-based ROI: 0.1841
  Marginal revenue impact - Each $1 spent generates $0.18 in revenue

Channel Impact Coefficients plot saved to: /mnt/c/Users/bhave/Downloads/GC-DATA-2025/GC-DATA-2025/agents/plots/mmm_channel_impact_20250318_190826.png
Model Fit plot saved to: /mnt/c/Users/bhave/Downloads/GC-DATA-2025/GC-DATA-2025/agents/plots/mmm_model_fit_20250318_190826.png


TV:
Current Month Performance:
  Attributed Revenue: $-251,504,201.93 (-6.20% of total GMV)
  Average ROI: -46.11%
  Average Marginal ROI: -31.81% (ΔRevenue/ΔInvestment)
Next Month Performance:
  Projected Attributed Revenue: $-200,058,570.61 (-4.93% of total GMV)
  Projected Average ROI: -86.56%
  Projected Average Marginal ROI: -7.54% (ΔRevenue/ΔInvestment)
  Investment Recommendation: Consider decreasing investment (negative returns and efficiency)

Digital:
Current Month Performance:
  Attributed Revenue: $129,898,031.48 (3.20% of total GMV)
  Average ROI: 42.29%
  Average Marginal ROI: 101.78% (ΔRevenue/ΔInvestment)
Next Month Performance:
  Projected Attributed Revenue: $202,615,677.78 (5.00% of total GMV)
  Projected Average ROI: 95.24%
  Projected Average Marginal ROI: -983.74% (ΔRevenue/ΔInvestment)
  Investment Recommendation: Consider tactical increases in specific periods (positive marginal returns)

Sponsorship:
Current Month Performance:
  Attributed Revenue: $1,680,450,879.39 (41.43% of total GMV)
  Average ROI: 41.41%
  Average Marginal ROI: 26.83% (ΔRevenue/ΔInvestment)
Next Month Performance:
  Projected Attributed Revenue: $1,015,760,784.40 (25.06% of total GMV)
  Projected Average ROI: 57.40%
  Projected Average Marginal ROI: -1.22% (ΔRevenue/ΔInvestment)
  Investment Recommendation: Consider tactical increases in specific periods (positive marginal returns)

Content Marketing:
Current Month Performance:
  Attributed Revenue: $36,979,898.99 (0.91% of total GMV)
  Average ROI: 46.49%
  Average Marginal ROI: 39.83% (ΔRevenue/ΔInvestment)
Next Month Performance:
  Projected Attributed Revenue: $26,751,079.53 (0.66% of total GMV)
  Projected Average ROI: 85.98%
  Projected Average Marginal ROI: 27.76% (ΔRevenue/ΔInvestment)
  Investment Recommendation: Consider tactical increases in specific periods (positive marginal returns)

Online marketing:
Current Month Performance:
  Attributed Revenue: $1,241,497,773.67 (30.61% of total GMV)
  Average ROI: 51.13%
  Average Marginal ROI: 127.52% (ΔRevenue/ΔInvestment)
Next Month Performance:
  Projected Attributed Revenue: $1,984,482,642.72 (48.95% of total GMV)
  Projected Average ROI: 196.08%
  Projected Average Marginal ROI: -26.29% (ΔRevenue/ΔInvestment)
  Investment Recommendation: Consider tactical increases in specific periods (positive marginal returns)

Affiliates:
Current Month Performance:
  Attributed Revenue: $299,857,578.98 (7.39% of total GMV)
  Average ROI: 38.41%
  Average Marginal ROI: -30.03% (ΔRevenue/ΔInvestment)
Next Month Performance:
  Projected Attributed Revenue: $248,017,201.68 (6.12% of total GMV)
  Projected Average ROI: 75.54%
  Projected Average Marginal ROI: -109.69% (ΔRevenue/ΔInvestment)
  Investment Recommendation: Consider decreasing investment (negative returns and efficiency)

SEM:
Current Month Performance:
  Attributed Revenue: $719,140,248.11 (17.73% of total GMV)
  Average ROI: 73.46%
  Average Marginal ROI: 47.84% (ΔRevenue/ΔInvestment)
Next Month Performance:
  Projected Attributed Revenue: $637,303,280.00 (15.72% of total GMV)
  Projected Average ROI: 111.19%
  Projected Average Marginal ROI: -139.71% (ΔRevenue/ΔInvestment)
  Investment Recommendation: Consider tactical increases in specific periods (positive marginal returns)

Radio:
Current Month Performance:
  Attributed Revenue: $30,288,273.90 (0.75% of total GMV)
  Average ROI: 46.08%
  Average Marginal ROI: 52.66% (ΔRevenue/ΔInvestment)
Next Month Performance:
  Projected Attributed Revenue: $17,907,734.89 (0.44% of total GMV)
  Projected Average ROI: 28.25%
  Projected Average Marginal ROI: 32.28% (ΔRevenue/ΔInvestment)
  Investment Recommendation: Consider tactical increases in specific periods (positive marginal returns)

Other:
Current Month Performance:
  Attributed Revenue: $169,060,449.63 (4.17% of total GMV)
  Average ROI: 25.08%
  Average Marginal ROI: 28.66% (ΔRevenue/ΔInvestment)
Next Month Performance:
  Projected Attributed Revenue: $122,885,952.82 (3.03% of total GMV)
  Projected Average ROI: 18.41%
  Projected Average Marginal ROI: 21.04% (ΔRevenue/ΔInvestment)
  Investment Recommendation: Consider tactical increases in specific periods (positive marginal returns)

Strategic Recommendations based on MMM Analysis:
Marginal ROI Analysis plot saved to: /mnt/c/Users/bhave/Downloads/GC-DATA-2025/GC-DATA-2025/agents/plots/marginal_roi_analysis_20250318_190826.png

Next Month Marginal ROI Analysis plot saved to: /mnt/c/Users/bhave/Downloads/GC-DATA-2025/GC-DATA-2025/agents/plots/next_month_marginal_roi_analysis_20250318_190826.png

Channel ROI Analysis Results:

1. Increase investment in high-performing channels (Current Months): SEM, Online marketing, Radio, Content Marketing, Digital, Sponsorship, Affiliates, Other
   These channels generate more revenue than their cost, providing positive ROI
2. Reassess or reduce investment in low-performing channels (Current Months): TV
   These channels generate less revenue than their cost, providing negative or minimal ROI
3. Increase investment in high-performing channels (Next Months): Online marketing, SEM, Digital, Radio, Content Marketing, Affiliates, Sponsorship, Other
   These channels generate more revenue than their cost, providing positive ROI
4. Reassess or reduce investment in low-performing channels (Next Months): TV
   These channels generate less revenue than their cost, providing negative or minimal ROI
5. Consider running controlled experiments to validate MMM findings before making major budget shifts
6. Re-run MMM analysis quarterly to capture changing market dynamics and seasonal effects
7. For channels with negative impact, investigate whether they serve important non-revenue goals (e.g., brand building)

Strategic Recommendations:
1. Prioritize customer satisfaction initiatives as they significantly impact future ROI
2. Set minimum monthly ROI targets based on the observed relationship with GMV
3. Aim for ROI above 0.25 for high-performing channels (Current Months)
4. Aim for ROI above 0.18 for high-performing channels (Next Months)
6. Implement a monthly ROI-to-GMV tracking system to monitor how this relationship evolves over time
